STRAIN	AATT01000295.1	AATT01000296.1	AATT01000297.1	AATT01000298.1	AATT01000299.1	AATT01000300.1	AATT01000301.1	AATT01000302.1	AATT01000303.1	AATT01000306.1	AATT01000307.1	AATT01000308.1	AATT01000309.1	AATT01000310.1	AATT01000314.1	AATT01000315.1	AATT01000316.1	AATT01000317.1	AATT01000318.1	AATT01000319.1	AATT01000320.1	AATT01000321.1	AATT01000322.1	AATT01000323.1	AATT01000324.1	AATT01000325.1	AATT01000326.1	AATT01000327.1	AATT01000328.1	AATT01000329.1	AATT01000330.1	AATT01000331.1	AATT01000332.1	AATT01000333.1	AATT01000334.1	AATT01000335.1	AATT01000338.1	AATT01000339.1	AATT01000340.1	AATT01000341.1	AATT01000342.1	AATT01000343.1	AATT01000344.1	AATT01000345.1	AATT01000346.1	AATT01000347.1	AATT01000348.1	DS022300.1	DS022301.1	DS022302.1	DS022303.1	DS022304.1	DS022305.1	DS022306.1	DS022307.1	DS022308.1	DS022309.1	DS022310.1	DS022311.1	DS022312.1	DS022313.1	DS022314.1	DS022315.1	DS022316.1	DS022317.1	DS022318.1	DS022319.1	DS022320.1	DS022321.1	DS022322.1	TF5a1_Bdvirus
02.OZ	64.70	55.34	59.74	119.61	45.28	60.01	46.20	106.79	71.85	40.18	53.81	95.45	60.35	74.75	45.54	37.20	48.44	58.46	26.51	666.07	70.35	44.76	34.28	65.47	45.04	113.91	56.25	255.43	16.86	361.61	35.77	1154.86	376.69	27.80	32.55	151.24	71.19	47.56	56.27	56.04	38.39	47.62	614.40	27.14	72.56	1141.87	511.69	55.70	58.95	81.43	55.91	74.67	58.03	56.37	58.54	54.89	56.67	56.45	56.19	61.07	170.31	57.56	55.14	57.72	69.87	33.49	39.94	201.39	497.80	1295.94	0.00
03.OZ	82.01	65.29	47.23	118.72	52.52	58.71	64.91	107.14	60.51	50.04	63.88	94.80	50.94	33.52	55.43	42.97	60.34	59.03	31.12	1027.40	49.58	29.53	44.71	65.89	52.23	126.89	61.71	124.89	61.95	189.95	35.43	471.31	300.04	34.00	56.20	104.03	94.57	34.34	48.21	51.20	33.93	56.04	465.73	26.47	46.63	813.00	587.63	66.81	69.45	69.67	66.44	65.69	69.36	68.79	67.84	65.97	67.18	66.52	66.24	72.69	132.90	69.25	61.75	68.30	77.02	39.15	37.11	153.92	608.42	890.84	0.00
06.OZ	122.39	97.65	75.00	182.06	107.48	105.95	107.94	155.13	83.77	68.46	94.87	145.96	73.22	65.04	91.08	58.80	87.59	126.86	84.60	1350.70	80.28	50.70	72.30	81.67	73.76	193.53	142.07	182.15	89.96	317.12	53.28	633.75	414.53	57.24	83.39	170.49	129.64	81.94	75.35	70.79	49.43	78.17	628.63	67.65	68.31	1024.90	669.60	98.33	148.44	147.12	97.50	96.52	101.14	100.84	99.26	96.59	97.27	97.79	96.37	105.50	177.05	98.90	97.30	98.16	110.81	56.11	71.95	187.49	826.12	1218.21	0.00
07.OZ	115.29	98.23	64.54	178.05	75.33	96.70	96.00	154.83	84.25	66.06	89.39	135.27	93.99	63.83	76.77	56.21	86.70	88.38	52.74	2106.30	76.73	52.03	60.61	101.03	70.75	180.27	103.94	169.18	86.13	305.42	55.53	633.40	409.01	46.38	80.14	187.06	126.39	83.07	73.51	70.43	45.80	77.36	636.33	69.65	67.14	1056.12	715.63	98.19	100.30	107.47	95.59	116.26	99.58	99.02	97.64	95.34	95.67	96.29	99.93	103.72	177.35	97.69	72.56	95.95	109.67	55.61	51.87	207.52	803.62	1700.11	0.00
0710-1	54.53	74.51	49.36	171.41	58.92	97.48	87.13	140.12	65.17	56.66	67.82	131.37	79.24	75.01	60.68	50.27	68.63	82.91	69.37	709.47	63.17	38.37	42.53	75.46	63.20	226.21	73.58	255.02	72.03	371.17	22.15	508.34	516.98	35.55	81.09	247.60	106.81	15.74	43.11	51.33	47.54	70.24	522.48	53.46	12.20	916.04	649.98	76.21	80.09	94.18	75.83	98.30	78.79	82.57	79.53	73.66	76.44	76.16	74.99	82.90	173.82	77.17	75.39	54.18	102.46	44.83	45.40	252.38	665.77	969.91	0.00
08MG02	135.86	106.93	80.37	218.48	84.96	79.45	90.24	183.22	97.33	78.89	104.02	159.08	88.56	80.46	82.33	66.18	96.02	119.30	52.73	1276.74	79.95	72.18	74.79	89.37	83.68	205.14	106.49	203.21	103.84	328.56	60.26	603.39	462.62	62.39	100.54	188.21	152.32	89.14	75.58	84.77	57.04	91.19	704.79	77.87	76.80	979.38	470.90	107.54	113.30	115.90	108.55	109.55	112.76	109.48	110.94	108.29	109.20	117.99	106.94	118.58	186.15	111.65	110.21	109.72	118.80	63.77	67.40	212.18	897.03	1283.76	0.00
08MG05	204.37	161.11	121.28	351.10	128.04	124.23	135.12	290.59	140.52	115.93	155.58	237.99	137.38	117.23	122.59	102.10	143.06	179.93	81.82	2758.67	127.33	108.50	114.57	141.00	130.06	309.97	154.48	327.73	149.36	548.95	86.91	1032.20	726.53	93.89	162.29	294.50	237.32	129.28	109.52	130.82	89.57	125.57	1097.98	114.27	115.72	1682.15	842.66	160.85	168.56	175.48	160.90	174.65	167.92	163.36	165.42	160.11	161.97	172.99	165.32	176.23	296.53	166.20	163.11	163.69	182.60	94.79	100.19	353.26	1311.50	2728.08	0.00
09.OZ	114.00	94.64	64.50	199.64	94.20	88.30	100.46	196.22	97.78	64.29	90.26	149.23	88.32	57.80	93.13	54.84	84.42	110.51	69.28	1654.03	77.10	69.92	63.90	109.02	77.16	281.82	114.52	250.33	86.08	469.83	50.31	570.28	621.17	44.09	84.09	372.75	133.18	53.00	69.18	51.88	48.04	80.06	776.93	75.25	68.90	1032.43	683.05	95.26	128.75	125.31	94.70	109.19	95.66	102.38	114.47	94.41	96.60	88.79	89.24	102.37	211.37	94.26	84.11	92.52	116.06	64.87	63.15	373.58	856.90	1325.07	0.00
11.OZ	93.55	72.03	55.26	135.00	76.10	65.05	67.78	133.33	84.41	54.22	73.42	108.71	54.74	89.11	57.52	54.58	65.84	96.92	61.75	630.23	60.50	53.04	56.68	61.54	53.44	143.98	96.34	191.11	68.36	299.45	42.04	803.05	425.01	42.08	64.76	161.09	102.90	63.18	59.84	50.96	22.73	61.20	538.31	78.04	76.67	1202.02	769.90	72.00	99.45	107.36	72.55	71.81	74.88	73.09	74.92	71.74	72.81	84.79	72.69	80.13	184.84	74.15	72.85	73.65	87.13	43.76	65.25	201.27	668.75	565.52	0.00
12.OZ	127.89	78.41	63.72	196.83	84.08	84.17	90.20	163.85	101.55	59.11	83.24	125.18	65.51	88.84	102.23	47.53	72.00	64.91	68.21	1212.34	69.07	56.19	64.80	67.96	60.42	198.64	120.49	217.53	75.50	380.30	43.22	1250.68	538.78	48.25	69.89	170.95	112.99	42.89	62.60	66.86	44.20	64.69	711.01	72.90	54.77	1737.43	1042.12	80.64	122.26	121.95	80.62	80.92	84.14	82.97	84.20	79.63	81.21	80.63	80.24	88.29	254.54	120.36	80.22	118.46	113.11	46.85	65.62	313.99	797.62	972.38	0.00
13.OZ	105.91	82.43	61.49	191.26	89.91	90.79	92.16	139.12	104.10	83.21	79.93	126.29	63.03	74.20	92.46	52.27	72.58	80.34	69.89	1503.82	70.26	87.19	57.98	71.04	64.35	177.44	118.62	224.48	76.74	423.45	43.37	1235.61	574.27	45.69	76.79	138.46	115.38	68.75	67.50	58.61	38.87	64.72	692.27	93.84	55.60	2062.01	1336.50	82.86	125.84	125.03	82.33	81.58	87.20	85.80	87.07	81.60	82.01	82.32	81.85	89.99	264.64	83.67	81.85	83.86	112.64	48.97	56.63	305.31	780.59	1190.67	0.00
14.OZ	93.03	79.67	74.57	147.88	89.29	87.63	97.31	147.45	69.73	35.67	85.06	124.56	64.46	60.05	82.22	55.60	70.89	102.71	37.03	1039.26	64.53	42.98	56.95	69.13	61.91	163.47	110.72	170.94	72.68	295.16	40.94	680.26	411.24	30.08	39.33	146.13	118.54	17.20	84.41	65.26	31.36	71.88	598.15	59.37	42.87	1141.91	574.70	81.67	125.57	108.26	82.26	81.85	85.19	86.48	98.09	81.58	82.43	81.70	81.07	89.00	175.56	83.96	63.83	83.56	98.51	54.76	72.68	224.86	726.68	942.43	0.00
15.OZ	70.77	58.48	20.74	136.16	44.32	51.77	53.92	107.47	53.45	44.03	56.72	75.26	70.19	42.06	58.39	36.87	55.44	33.60	51.89	636.03	49.04	41.32	40.25	61.01	47.14	109.82	58.32	99.27	57.66	159.58	49.57	455.56	245.56	26.08	72.45	70.47	86.73	30.31	22.11	32.73	17.99	48.51	520.24	47.07	64.99	721.76	561.63	60.74	63.21	89.90	60.66	88.54	62.45	62.15	84.19	59.66	60.85	60.21	59.68	65.16	118.86	61.65	32.40	60.48	65.97	42.96	25.10	148.65	514.88	450.52	0.00
16.OZ	83.91	68.61	37.03	167.66	75.43	83.40	73.36	237.59	59.81	50.90	66.65	103.43	72.33	41.17	77.05	43.31	65.56	82.68	35.38	1156.70	76.27	45.74	46.05	76.20	51.70	315.54	96.58	142.49	64.26	464.22	37.62	210.68	734.48	31.22	54.48	447.30	98.52	34.83	47.62	52.74	22.99	61.37	630.93	45.97	46.71	389.47	199.17	69.16	105.18	73.19	68.90	90.40	73.87	71.03	71.35	68.06	74.32	68.58	66.89	73.93	159.58	70.03	37.30	68.78	89.08	40.89	46.80	412.52	584.86	976.86	0.00
18.OZ	79.21	65.22	26.74	194.60	74.46	58.12	73.08	320.91	57.18	65.05	64.77	106.61	55.67	38.05	53.20	54.88	59.85	117.60	30.69	872.81	49.47	42.31	44.20	61.06	50.31	420.70	80.67	141.95	58.73	634.59	34.20	129.61	1022.59	33.08	57.10	608.19	89.95	34.66	47.77	50.07	14.34	55.54	673.32	46.38	42.52	162.72	133.99	65.88	101.16	70.10	65.69	72.93	70.54	68.22	68.48	64.91	66.27	65.51	63.86	71.54	179.31	67.43	35.50	66.20	100.37	38.37	51.71	599.64	556.45	862.82	0.00
20.OZ	61.75	58.79	26.09	101.81	49.58	49.76	53.73	132.68	44.03	36.94	46.81	78.82	49.45	26.46	47.23	26.00	45.88	58.07	29.10	509.60	45.39	36.53	32.86	50.70	38.99	165.97	60.84	95.68	45.26	197.87	30.52	208.08	335.87	24.15	40.29	150.91	72.79	25.53	39.68	42.08	22.88	42.56	376.23	41.77	40.54	141.54	213.93	51.01	69.91	63.63	51.50	61.54	52.40	52.55	52.00	50.41	51.59	40.33	50.61	63.32	86.22	52.55	40.94	51.83	61.96	29.64	31.79	141.46	414.77	387.94	0.00
22.OZ	101.73	80.87	55.15	149.27	92.22	103.57	84.21	172.66	70.23	60.29	80.58	120.24	100.21	50.50	97.38	55.50	73.64	79.10	38.99	1175.41	91.86	54.44	54.22	104.18	63.47	221.99	121.31	142.64	73.86	288.21	40.77	346.32	407.90	38.27	46.30	223.16	115.14	46.47	43.08	82.61	32.05	71.52	541.80	62.57	58.72	567.39	615.69	81.24	124.72	85.20	82.26	119.62	84.99	83.87	82.22	80.43	81.99	81.19	78.96	88.54	147.74	86.54	44.59	85.40	93.08	48.80	57.48	218.79	716.90	975.35	0.00
23.OZ	118.44	80.87	29.66	195.30	86.16	101.73	95.85	153.56	95.23	61.56	82.66	119.26	64.96	75.63	63.40	60.64	72.78	115.72	39.12	892.85	96.46	52.90	50.51	64.28	66.54	160.61	101.76	209.27	72.61	393.55	43.27	1003.22	541.73	43.27	72.19	152.71	114.60	43.98	52.19	69.22	21.93	69.14	740.45	68.99	61.07	1711.14	1212.38	82.89	114.07	88.05	82.69	82.51	87.44	85.87	86.24	81.74	83.49	67.75	80.95	89.56	239.93	109.75	44.74	106.81	104.59	48.94	68.22	412.90	780.54	984.27	0.00
