STRAIN	AATT01000295.1	AATT01000296.1	AATT01000297.1	AATT01000298.1	AATT01000299.1	AATT01000300.1	AATT01000301.1	AATT01000302.1	AATT01000303.1	AATT01000306.1	AATT01000307.1	AATT01000308.1	AATT01000309.1	AATT01000310.1	AATT01000314.1	AATT01000315.1	AATT01000316.1	AATT01000317.1	AATT01000318.1	AATT01000319.1	AATT01000320.1	AATT01000321.1	AATT01000322.1	AATT01000323.1	AATT01000324.1	AATT01000325.1	AATT01000326.1	AATT01000327.1	AATT01000328.1	AATT01000329.1	AATT01000330.1	AATT01000331.1	AATT01000332.1	AATT01000333.1	AATT01000334.1	AATT01000335.1	AATT01000338.1	AATT01000339.1	AATT01000340.1	AATT01000341.1	AATT01000342.1	AATT01000343.1	AATT01000344.1	AATT01000345.1	AATT01000346.1	AATT01000347.1	AATT01000348.1	DS022300.1	DS022301.1	DS022302.1	DS022303.1	DS022304.1	DS022305.1	DS022306.1	DS022307.1	DS022308.1	DS022309.1	DS022310.1	DS022311.1	DS022312.1	DS022313.1	DS022314.1	DS022315.1	DS022316.1	DS022317.1	DS022318.1	DS022319.1	DS022320.1	DS022321.1	DS022322.1	TF5a1_Bdvirus
24.OZ	85.50	63.94	42.71	138.71	67.48	79.52	58.21	120.00	57.55	56.45	74.90	96.72	52.10	54.23	66.12	50.13	58.23	62.01	39.72	1219.56	69.84	32.42	50.14	56.36	53.50	124.77	95.07	121.11	62.64	171.87	29.27	356.02	266.65	36.95	52.67	132.85	98.22	45.62	67.83	54.69	24.87	71.99	484.52	43.63	34.37	463.33	412.61	66.13	87.73	89.80	66.98	66.41	68.71	69.03	88.16	66.08	87.76	66.93	81.25	72.38	115.96	68.21	47.75	68.69	83.50	51.39	41.11	119.30	654.27	1067.49	0.00
25.OZ	89.66	72.72	35.26	138.97	73.29	67.02	69.41	117.37	64.16	51.16	73.39	93.28	60.26	52.04	92.06	44.49	65.28	46.51	36.66	1730.13	54.91	39.15	50.99	59.40	57.84	159.58	93.29	115.83	63.52	237.21	36.34	519.79	290.07	35.96	58.72	107.77	102.72	39.35	47.97	81.17	15.76	62.18	540.99	50.14	49.60	777.91	530.55	73.75	107.47	77.47	74.69	74.81	76.04	76.37	78.55	72.48	73.17	73.26	71.90	78.30	140.50	74.46	45.65	74.00	82.76	45.84	50.89	183.25	590.45	1276.99	0.00
28.OZ	180.03	97.96	72.44	160.63	102.61	77.94	86.20	168.95	86.80	43.07	95.75	137.50	102.40	68.01	107.88	62.93	88.42	83.41	44.70	1952.12	81.82	51.80	62.70	109.45	75.51	178.33	125.77	161.64	83.03	260.07	49.69	490.13	366.84	50.06	79.02	148.09	134.97	51.02	72.07	71.76	41.41	79.32	569.71	64.76	11.58	835.24	550.32	97.00	143.91	100.32	96.31	134.51	99.35	96.96	105.26	95.93	95.75	96.42	104.09	106.52	164.79	100.50	66.64	99.76	106.05	61.41	75.09	141.42	793.16	1536.90	0.00
30.OZ	153.89	95.37	103.24	178.02	76.89	79.03	80.08	180.83	89.06	42.03	91.36	154.48	74.53	70.36	72.20	57.17	86.53	87.15	46.83	1817.39	78.45	52.49	73.04	77.62	74.63	177.67	96.70	221.99	88.85	492.79	49.15	1255.91	626.03	38.10	81.35	166.44	137.40	20.50	62.84	67.13	51.66	76.17	664.75	71.94	13.45	2113.11	1295.15	95.69	102.82	100.89	97.21	96.17	100.89	98.01	99.73	97.10	96.94	96.68	96.00	104.96	252.05	100.02	94.94	98.58	119.87	55.17	59.60	289.28	785.81	1448.17	0.00
33.OZ	99.35	77.00	57.57	194.64	82.55	75.99	91.67	142.71	72.63	75.97	80.89	131.36	63.00	57.90	88.39	49.24	69.92	73.84	41.44	1809.02	66.54	52.48	54.15	70.76	59.81	174.23	106.16	230.98	71.92	338.09	44.84	699.35	505.12	39.17	68.32	187.69	109.98	41.83	61.63	47.44	48.04	76.45	625.89	56.99	52.30	1141.55	1121.56	78.48	119.04	108.00	78.50	80.45	82.25	81.24	82.04	77.75	91.27	78.62	98.62	86.28	181.60	80.73	79.01	79.88	100.51	46.88	59.65	210.43	746.53	1353.31	0.00
34.OZ	113.41	92.04	33.41	207.48	97.63	90.46	104.31	164.87	81.60	93.90	89.90	136.60	106.85	65.06	107.05	57.66	84.20	89.72	43.14	1858.73	73.22	61.66	59.27	111.97	68.94	196.31	123.44	234.41	83.77	358.47	48.61	721.06	536.42	44.65	75.61	201.82	133.07	50.43	72.89	48.58	24.97	75.71	653.13	65.88	63.29	1175.05	1183.03	93.10	139.88	97.96	92.93	131.69	97.33	95.35	96.03	91.75	92.73	92.02	91.52	100.63	194.35	95.72	49.61	94.02	114.07	54.54	65.33	214.49	826.96	1279.04	0.06
35.OZ	99.31	130.64	61.85	179.48	73.55	75.91	71.09	207.10	77.74	40.46	90.02	127.40	73.73	60.58	71.24	57.02	78.69	73.74	54.58	1139.76	73.49	48.60	48.01	77.32	70.28	238.22	96.97	133.90	82.07	319.35	47.66	79.35	556.98	41.00	74.29	366.88	127.29	73.57	70.57	85.18	27.55	74.96	600.45	65.58	64.95	77.75	379.72	90.19	97.67	113.97	90.14	90.04	92.16	90.83	90.86	88.80	92.12	89.32	88.46	97.43	147.66	92.59	62.89	91.99	113.55	52.78	59.37	284.23	867.45	1007.51	0.00
36.OZ	92.10	77.98	26.88	172.75	59.05	67.93	69.61	138.67	67.13	56.13	72.97	100.67	94.53	53.52	73.70	45.28	68.97	45.62	69.90	1255.49	62.67	51.69	51.71	81.10	61.41	139.71	75.57	133.97	69.27	217.84	66.17	600.78	323.14	39.14	93.97	97.66	107.55	42.09	30.75	49.94	27.35	62.08	702.00	56.41	86.76	962.52	776.99	78.88	82.41	119.47	78.25	114.95	81.28	80.45	89.20	77.81	78.44	78.59	77.35	84.38	155.89	80.09	41.32	79.22	86.97	50.63	34.59	186.28	667.46	910.57	0.00
37.OZ	90.31	75.96	25.95	181.45	58.66	69.04	69.32	139.43	69.41	55.98	73.39	100.08	91.33	52.70	75.01	44.49	69.46	44.18	65.63	1493.95	63.02	54.76	51.37	75.28	58.04	143.46	80.18	140.54	74.67	231.14	64.25	653.24	339.78	37.54	95.18	101.99	111.15	41.20	29.20	44.31	26.05	60.43	694.42	57.81	84.26	1034.93	772.59	78.05	84.00	117.67	77.45	113.05	80.58	79.89	89.28	76.62	77.68	77.42	76.94	83.49	160.58	79.38	41.25	78.87	86.20	51.17	35.40	205.34	660.15	1120.11	0.00
38.OZ	96.78	73.68	36.72	135.13	70.13	79.39	89.13	129.83	66.44	54.96	76.62	93.26	101.84	57.00	71.54	48.57	65.58	76.01	35.74	1048.29	62.12	42.24	55.02	93.51	56.85	147.72	91.73	121.70	70.85	191.93	34.91	455.94	297.73	43.62	64.99	105.23	108.88	17.05	58.11	56.49	24.93	62.18	575.36	56.49	30.56	811.93	394.79	76.77	97.03	80.39	77.09	130.26	78.96	80.52	78.50	76.10	76.86	76.32	75.22	82.95	142.92	78.72	41.63	77.80	87.97	44.51	53.42	152.01	718.29	836.97	0.00
39.OZ	92.98	63.78	51.15	130.26	71.87	73.74	87.00	116.35	64.75	44.27	75.39	92.05	61.57	52.69	72.05	37.45	56.37	79.55	42.75	737.85	51.09	40.11	52.40	61.25	56.70	146.55	98.59	136.08	63.56	212.47	29.54	491.70	315.37	35.44	60.69	104.90	94.28	17.72	45.87	46.84	24.51	64.07	541.08	58.97	32.00	891.63	407.80	64.12	102.26	88.88	76.62	78.23	68.95	79.94	82.58	63.95	80.61	64.78	64.27	70.48	144.94	82.85	61.48	80.92	81.23	46.89	58.69	156.41	645.13	631.69	0.00
40.OZ	57.15	43.54	36.75	89.02	54.56	47.47	55.52	72.89	37.45	33.65	48.41	63.15	35.24	32.72	51.18	28.16	41.04	60.05	29.26	580.72	37.03	25.39	40.50	34.63	36.02	89.87	74.17	90.00	39.52	143.28	21.23	323.57	204.08	24.49	37.60	65.21	65.85	9.28	34.88	35.59	17.51	46.86	349.81	32.37	18.47	563.04	290.24	45.09	76.96	55.86	44.73	43.61	45.80	47.21	53.49	44.25	63.62	42.89	44.61	48.38	90.02	45.99	45.79	45.26	52.24	30.67	41.80	100.36	413.98	506.27	0.00
41.OZ	80.73	67.64	29.79	202.20	70.34	53.97	69.32	117.59	66.38	50.65	69.28	131.30	64.88	36.64	73.57	44.56	59.00	70.23	33.38	909.20	54.66	59.67	36.01	70.64	53.95	164.96	87.27	212.10	63.41	281.62	13.60	614.40	470.74	39.61	61.89	131.16	95.19	34.47	54.71	50.51	21.24	58.79	467.38	53.74	50.69	888.77	868.35	68.65	100.88	86.24	68.95	81.83	67.49	71.41	75.97	68.10	71.43	68.50	67.50	74.95	154.12	72.50	42.88	72.40	98.52	43.28	41.25	158.69	602.40	923.24	0.06
42.OZ	67.39	60.99	39.71	132.98	54.90	56.65	57.55	110.52	55.16	26.94	59.03	89.10	59.86	44.47	55.19	19.84	53.43	59.92	34.09	766.13	44.19	41.60	44.43	67.72	42.66	144.71	70.92	140.86	42.61	274.15	36.54	484.67	360.82	32.85	49.33	175.38	71.38	30.27	46.25	46.91	27.66	64.94	455.45	25.70	40.62	808.75	551.65	58.04	75.11	68.81	54.09	75.66	60.68	59.77	62.16	49.71	75.01	50.39	60.68	64.11	141.54	63.56	50.51	63.66	74.01	36.58	38.96	231.83	546.92	776.72	0.00
43.OZ	62.36	53.32	38.16	92.44	51.44	47.20	64.08	100.66	44.38	35.16	57.26	80.70	52.95	33.00	50.87	18.98	46.05	64.73	29.75	1130.62	43.50	40.40	34.90	57.47	41.14	114.28	64.31	113.42	44.37	189.20	28.67	295.54	285.01	23.78	43.46	132.31	72.93	32.15	35.51	33.90	36.59	46.97	413.99	43.60	29.23	509.49	187.68	50.44	68.20	68.98	61.62	64.91	53.03	55.58	66.19	49.47	50.76	38.56	50.55	58.19	100.34	52.10	44.52	51.55	61.21	38.45	32.82	146.62	485.96	711.81	0.00
44.OZ	79.97	62.31	42.43	131.50	58.87	58.16	64.79	99.96	53.47	48.23	68.59	87.99	52.11	43.54	59.44	35.26	56.35	63.53	37.01	1140.18	46.39	41.87	45.70	55.67	49.76	110.08	73.75	167.12	60.47	271.39	30.99	727.79	342.88	35.12	57.24	95.79	87.62	34.98	50.48	50.59	27.53	51.52	605.22	50.37	37.31	989.45	775.54	62.19	80.67	82.84	70.40	66.18	65.26	63.88	75.45	61.61	62.51	54.20	61.22	68.10	142.56	66.54	52.55	65.51	76.40	43.53	47.30	189.47	598.91	911.21	0.00
45.OZ	110.44	111.04	61.21	183.67	96.71	88.79	101.05	154.13	81.77	61.44	103.31	149.75	103.09	66.60	87.04	52.88	77.33	112.82	44.39	2094.10	70.60	57.43	65.58	107.78	65.93	163.74	122.28	262.12	84.49	462.40	44.51	1117.06	464.72	51.30	77.79	164.35	125.06	46.69	68.05	70.05	44.75	69.21	818.06	67.66	58.75	1361.28	1038.79	89.19	134.12	95.16	116.89	128.42	92.58	91.39	91.04	88.00	89.27	88.91	87.21	122.80	200.08	91.29	79.92	89.56	112.48	51.09	70.79	255.70	815.21	1568.93	0.00
46.OZ	128.15	84.01	63.41	175.70	98.29	89.31	100.89	147.59	78.76	60.88	87.22	128.88	100.18	61.59	89.43	54.89	79.59	114.94	46.71	1421.61	73.02	60.35	65.21	110.05	69.41	153.10	119.57	205.69	80.03	331.58	42.68	754.33	416.27	47.95	78.03	142.59	123.97	47.24	68.48	70.06	44.03	74.04	761.90	67.71	58.06	1048.46	790.82	86.39	130.99	101.19	86.42	125.06	90.25	89.19	118.21	85.57	88.77	86.15	85.83	93.92	172.72	117.84	79.78	115.90	104.41	67.75	76.13	204.73	829.47	1163.52	0.00
47.OZ	99.82	108.75	56.25	158.09	82.21	71.34	82.45	144.29	99.83	52.41	78.40	122.74	87.89	90.77	88.37	54.53	65.29	83.57	61.03	1411.31	63.56	64.00	61.39	98.20	61.93	191.88	103.95	222.75	71.40	368.47	42.98	1076.49	549.75	42.21	47.48	169.07	108.85	38.11	79.81	65.86	38.67	65.11	939.61	67.71	11.35	1738.49	1174.55	75.35	115.14	115.16	75.17	109.33	79.09	78.06	86.42	74.81	75.66	81.88	75.71	83.16	249.62	83.76	74.69	83.94	104.90	50.25	53.97	297.51	748.18	1082.23	0.00
49.OZ	92.54	120.27	55.62	242.73	66.42	66.52	65.73	296.88	73.63	38.43	83.11	135.42	67.99	56.44	64.30	54.33	72.16	73.37	51.93	948.87	67.99	43.87	47.68	70.71	65.51	337.73	85.49	175.61	76.93	579.41	43.74	108.09	993.99	45.83	75.09	657.16	116.49	68.50	62.36	77.11	25.79	76.32	653.60	61.64	57.76	122.95	809.82	82.24	90.21	104.02	83.43	84.52	86.40	83.80	86.46	81.24	95.39	82.15	81.42	91.23	201.61	84.90	73.99	83.65	134.91	48.88	54.92	564.40	847.73	859.89	0.00
711.1	53.35	77.12	22.37	191.12	58.44	93.59	88.68	154.09	67.92	54.39	66.83	130.73	59.51	129.41	61.47	51.06	71.16	83.57	64.05	1393.12	62.85	64.56	39.55	70.99	60.44	258.05	76.42	315.07	74.13	614.47	49.98	1070.59	818.58	33.23	88.98	289.83	107.34	15.64	40.68	55.22	25.09	71.34	625.76	93.74	10.49	1881.91	1257.70	81.94	83.76	82.38	77.46	76.88	81.31	85.12	82.22	76.11	77.21	77.39	75.33	84.68	279.41	78.71	44.29	55.75	113.76	44.06	41.31	402.52	684.29	1453.04	0.00
739	280.97	117.54	108.47	319.41	170.50	194.22	142.38	463.86	110.92	142.04	96.74	319.23	136.96	121.20	224.17	117.00	165.03	269.61	88.00	589.36	139.67	86.11	106.44	121.41	59.77	607.77	186.95	877.45	97.02	569.28	171.49	266.45	383.33	76.69	178.50	917.41	170.61	74.86	168.85	227.75	94.72	161.66	920.04	99.57	68.21	820.25	474.85	129.81	177.51	156.05	132.41	171.28	136.92	137.14	140.58	89.71	171.43	92.43	120.05	144.84	242.10	131.71	95.10	129.38	247.30	93.09	133.09	366.58	885.68	627.12	435.09
ACON_CH	262.57	94.11	116.16	309.38	154.20	199.99	150.20	431.45	137.09	139.05	98.70	349.36	128.26	134.44	215.47	106.13	191.61	209.12	71.44	519.42	135.13	106.22	107.43	114.29	73.70	607.00	172.57	686.76	112.32	536.71	183.11	293.60	326.29	70.85	176.34	1180.54	160.29	91.11	150.66	180.76	109.33	176.13	798.29	101.01	70.74	704.09	334.90	147.37	155.99	153.93	149.48	175.95	153.09	170.12	152.87	101.20	150.53	103.72	136.67	119.50	232.28	152.41	107.68	144.74	220.22	98.11	121.35	265.63	759.05	490.08	387.93
ADMALA	109.15	83.03	69.21	174.12	89.65	77.15	102.79	124.27	81.52	63.72	74.69	115.94	86.35	57.12	105.24	49.76	102.16	88.84	58.33	706.25	85.01	53.25	53.07	67.95	57.85	143.57	124.07	151.47	66.36	178.21	59.82	381.05	223.07	42.92	72.95	93.84	137.16	54.52	49.18	86.34	41.46	64.78	641.80	60.47	107.95	524.29	338.58	99.26	146.23	138.82	97.99	97.04	97.37	95.16	94.09	95.78	95.07	94.71	90.30	99.91	141.54	96.78	89.30	90.72	94.82	48.53	56.22	129.15	746.40	1080.02	0.00
ANS_13No1	112.91	153.36	102.22	419.12	124.00	176.28	183.89	324.77	146.25	108.77	114.67	324.07	138.68	155.46	129.03	94.27	161.78	233.87	138.14	783.29	132.67	104.78	78.69	132.38	123.22	520.97	160.19	785.21	143.89	916.43	114.88	1562.85	1062.78	67.84	184.13	625.14	216.97	41.04	72.06	121.54	101.29	140.69	1201.56	121.62	23.68	2609.53	2051.86	167.73	179.02	172.72	166.47	164.80	169.24	177.27	174.41	163.23	165.04	164.12	158.40	178.34	410.04	169.48	160.22	115.86	237.10	87.48	87.07	556.42	1350.89	1132.51	0.00
